gender,state,age,income,imp.challenge,imp.unlocks,imp.customize,imp.difficulty,imp.characters,imp.storyline,imp.mastery,imp.backstory,imp.dominate,imp.completion,imp.wealth,imp.fantasy,imp.items,imp.power,imp.offbeat,imp.collect,enj.excitement,enj.destruction,enj.others,enj.react,enj.duels,enj.strategy,enj.roleplay,enj.competition,enj.decisions,enj.common.goal,enj.planning,enj.immersion,enj.helping,enj.fast,enj.guns,enj.gore,enj.blow.up,freq.explore,freq.experiment,freq.study,freq.char.creation,freq.stats,freq.customize,freq.test.world,gg.game.presented,gg.maxprice,rank.WarriorGuild,rank.SeraphGuardians,rank.Evercrest,rank.DevilsGate,rank.Marksman,rank.QuestoftheTitan
female,AZ,24,54000,5,6,7,4,6,5,4,5,5,4,6,5,5,5,6,5,3,3,5,3,5,4,6,4,4,5,3,4,6,5,3,3,3,5,6,3,6,7,4,7,Warrior Guild,50,4,1,3,5,6,2
male,FL,18,12000,4,2,5,3,4,6,5,6,4,1,4,7,5,4,4,1,3,4,6,2,5,4,4,4,5,4,4,5,4,3,3,5,3,5,7,5,6,3,6,6,Warrior Guild,34,5,3,1,4,6,2
male,IL,23,41000,7,5,2,5,3,4,6,2,6,5,3,3,3,1,2,4,4,5,5,3,5,2,5,6,5,3,3,6,4,3,2,4,2,1,4,5,1,4,2,5,Warrior Guild,42,2,1,5,3,4,6
male,CA,21,61000,4,3,4,6,1,2,3,2,6,4,3,5,3,3,3,5,5,2,5,6,6,2,2,6,4,3,3,3,2,5,1,1,2,2,3,4,3,2,5,2,Warrior Guild,55,1,3,5,2,4,6
male,FL,25,59000,6,4,3,6,3,2,6,2,2,2,3,4,4,3,7,5,2,4,5,3,4,5,1,4,5,5,4,3,7,2,2,3,2,4,5,6,3,5,2,4,Evercrest,49,2,1,4,5,3,6
male,MI,20,13000,4,1,2,5,3,3,5,1,4,1,4,4,2,3,3,1,5,2,3,4,4,4,1,1,6,4,7,2,5,4,4,4,1,2,3,6,2,2,2,2,Seraph Guardians,31,2,3,4,1,5,6
female,CA,51,82000,4,4,7,5,6,6,4,6,2,4,4,3,4,5,2,7,4,2,1,3,1,3,4,1,3,3,2,5,2,2,4,4,2,6,2,4,6,4,5,3,Warrior Guild,45,5,1,3,6,4,2
male,CA,32,104000,5,6,3,3,5,3,4,5,3,4,5,2,4,1,5,5,4,4,5,4,1,3,4,4,6,3,5,1,5,3,4,4,3,5,5,6,3,4,2,6,Evercrest,81,5,1,4,6,3,2
female,MA,22,37000,4,2,1,5,5,4,4,5,6,2,2,5,3,2,4,3,4,4,5,3,6,3,4,4,2,5,2,5,6,3,4,4,3,4,4,3,1,1,1,4,Warrior Guild,57,1,4,3,2,6,5
male,NJ,20,55000,3,3,6,3,7,7,2,7,5,3,2,6,7,7,5,2,5,4,5,4,6,1,6,4,1,5,3,6,5,3,5,4,4,6,3,1,4,3,3,5,Warrior Guild,37,3,4,1,5,6,2
male,KY,22,16000,5,1,4,6,3,1,4,3,6,1,4,2,2,3,6,3,5,2,4,7,5,6,2,7,6,5,7,2,6,6,1,2,3,6,5,4,2,5,3,4,Evercrest,25,1,4,5,3,2,6
female,KY,29,41000,6,1,3,4,5,5,4,3,6,4,2,3,3,2,5,2,5,2,7,7,5,5,4,6,3,6,4,3,6,4,4,3,1,6,5,5,3,3,3,3,Seraph Guardians,51,2,4,3,1,5,6
female,VA,22,45000,5,4,7,6,5,5,3,5,5,3,7,7,7,7,4,4,7,4,4,7,3,4,5,4,3,1,4,7,1,6,4,2,3,5,5,5,7,5,6,5,Seraph Guardians,51,5,1,3,6,4,2
male,OK,31,43000,5,6,4,6,7,7,4,5,1,4,1,4,4,4,1,7,4,6,4,4,3,4,4,4,6,5,5,5,5,6,5,6,5,3,3,6,3,1,2,3,Seraph Guardians,45,4,1,3,2,5,6
female,IN,19,12000,4,6,2,4,4,5,4,4,4,3,5,4,3,3,3,4,3,5,4,4,6,3,4,5,5,3,5,4,6,5,3,3,2,3,3,5,3,4,4,2,Seraph Guardians,32,2,1,6,3,4,5
female,GA,29,60000,4,6,5,4,2,2,5,5,2,6,5,6,5,4,3,5,3,3,3,4,3,5,4,3,4,5,7,4,7,3,5,5,4,4,3,5,5,5,3,2,Evercrest,46,6,1,4,5,3,2
